year,month,PRECTOTCORR,T2M,P_mm,site
2009,8,3.65,23.32,113.14999999999999,Assosa
2009,9,4.2,24.17,126.0,Assosa
2009,10,3.21,25.28,99.51,Assosa
2009,11,0.27,26.51,8.100000000000001,Assosa
2009,12,0.06,26.88,1.8599999999999999,Assosa
2010,1,0.03,27.74,0.9299999999999999,Assosa
2010,2,0.03,29.31,0.84,Assosa
2010,3,0.11,29.64,3.41,Assosa
2010,4,0.62,30.74,18.6,Assosa
2010,5,3.12,25.95,96.72,Assosa
2010,6,4.88,24.04,146.4,Assosa
2010,7,3.79,22.48,117.49,Assosa
2010,8,3.88,22.54,120.28,Assosa
2010,9,4.48,22.7,134.4,Assosa
2010,10,3.09,24.63,95.78999999999999,Assosa
2010,11,0.65,26.09,19.5,Assosa
2010,12,0.12,26.36,3.7199999999999998,Assosa
2011,1,0.24,26.51,7.4399999999999995,Assosa
2011,2,0.01,28.93,0.28,Assosa
2011,3,0.3,29.61,9.299999999999999,Assosa
2011,4,0.98,30.13,29.4,Assosa
2011,5,3.79,26.65,117.49,Assosa
2011,6,3.52,23.96,105.6,Assosa
2011,7,2.29,23.53,70.99,Assosa
2011,8,3.4,22.7,105.39999999999999,Assosa
2011,9,3.16,23.23,94.80000000000001,Assosa
2011,10,2.22,25.05,68.82000000000001,Assosa
2011,11,0.36,25.62,10.799999999999999,Assosa
2011,12,0.05,26.6,1.55,Assosa
2012,1,0.02,26.82,0.62,Assosa
2012,2,0.0,29.18,0.0,Assosa
2012,3,0.24,29.73,7.4399999999999995,Assosa
2012,4,0.48,29.37,14.399999999999999,Assosa
2012,5,3.12,25.48,96.72,Assosa
2012,6,2.38,24.23,71.39999999999999,Assosa
2012,7,3.86,22.31,119.66,Assosa
2012,8,5.88,21.95,182.28,Assosa
2012,9,6.71,22.02,201.3,Assosa
2012,10,2.14,24.22,66.34,Assosa
2012,11,0.86,25.66,25.8,Assosa
2012,12,0.1,26.22,3.1,Assosa
2013,1,0.03,27.87,0.9299999999999999,Assosa
2013,2,0.05,29.35,1.4000000000000001,Assosa
2013,3,0.25,30.4,7.75,Assosa
2013,4,0.38,29.51,11.4,Assosa
2013,5,6.37,24.87,197.47,Assosa
2013,6,5.18,23.15,155.39999999999998,Assosa
2013,7,4.67,21.53,144.77,Assosa
2013,8,5.32,21.43,164.92000000000002,Assosa
2013,9,4.73,22.37,141.9,Assosa
2013,10,2.66,23.7,82.46000000000001,Assosa
2013,11,0.97,24.99,29.099999999999998,Assosa
2013,12,0.05,25.23,1.55,Assosa
2014,1,0.02,27.23,0.62,Assosa
2014,2,0.16,27.75,4.48,Assosa
2014,3,0.66,28.47,20.46,Assosa
2014,4,4.07,26.27,122.10000000000001,Assosa
2014,5,5.67,24.65,175.77,Assosa
2014,6,5.25,23.43,157.5,Assosa
2014,7,8.91,21.84,276.21,Assosa
2014,8,7.58,21.47,234.98,Assosa
2014,9,9.86,21.88,295.79999999999995,Assosa
2014,10,9.15,22.76,283.65000000000003,Assosa
2014,11,0.79,22.99,23.700000000000003,Assosa
2014,12,0.46,23.03,14.26,Assosa
2015,1,0.07,23.48,2.1700000000000004,Assosa
2015,2,0.0,27.3,0.0,Assosa
2015,3,0.85,29.91,26.349999999999998,Assosa
2015,4,0.15,29.16,4.5,Assosa
2015,5,8.55,24.95,265.05,Assosa
2015,6,8.83,22.92,264.9,Assosa
2015,7,6.84,22.48,212.04,Assosa
2015,8,10.89,22.41,337.59000000000003,Assosa
2015,9,7.32,23.15,219.60000000000002,Assosa
2015,10,10.52,23.58,326.12,Assosa
2015,11,1.73,23.23,51.9,Assosa
2015,12,1.6,21.84,49.6,Assosa
2016,1,0.0,23.22,0.0,Assosa
2016,2,0.0,26.8,0.0,Assosa
2016,3,0.81,30.58,25.110000000000003,Assosa
2016,4,1.7,29.61,51.0,Assosa
2016,5,13.0,24.13,403.0,Assosa
2016,6,6.93,22.58,207.89999999999998,Assosa
2016,7,13.07,21.39,405.17,Assosa
2016,8,10.69,21.83,331.39,Assosa
2016,9,14.42,22.42,432.6,Assosa
2016,10,11.49,23.3,356.19,Assosa
2016,11,0.03,22.97,0.8999999999999999,Assosa
2016,12,0.01,22.98,0.31,Assosa
2017,1,0.0,24.5,0.0,Assosa
2017,2,0.32,26.68,8.96,Assosa
2017,3,0.06,29.78,1.8599999999999999,Assosa
2017,4,1.65,29.18,49.5,Assosa
2017,5,4.77,25.58,147.86999999999998,Assosa
2017,6,12.01,23.35,360.3,Assosa
2017,7,11.57,21.64,358.67,Assosa
2017,8,9.16,21.67,283.96,Assosa
2017,9,6.73,22.15,201.9,Assosa
2017,10,7.19,23.31,222.89000000000001,Assosa
2017,11,0.96,22.87,28.799999999999997,Assosa
2017,12,0.16,23.49,4.96,Assosa
2018,1,0.0,23.47,0.0,Assosa
2018,2,0.05,28.2,1.4000000000000001,Assosa
2018,3,0.97,28.7,30.07,Assosa
2018,4,0.37,28.6,11.1,Assosa
2018,5,7.6,25.46,235.6,Assosa
2018,6,5.33,22.89,159.9,Assosa
2018,7,7.46,21.77,231.26,Assosa
2018,8,6.66,21.97,206.46,Assosa
2018,9,4.12,23.17,123.60000000000001,Assosa
2018,10,7.73,23.35,239.63000000000002,Assosa
2018,11,0.68,23.81,20.400000000000002,Assosa
2018,12,0.18,24.58,5.58,Assosa
2019,1,0.0,26.43,0.0,Assosa
2019,2,0.06,29.0,1.68,Assosa
2019,3,0.05,30.29,1.55,Assosa
2019,4,0.76,30.29,22.8,Assosa
2019,5,3.35,27.36,103.85000000000001,Assosa
2019,6,9.95,22.98,298.5,Assosa
2019,7,9.11,22.02,282.40999999999997,Assosa
2019,8,6.66,21.81,206.46,Assosa
2019,9,16.09,22.29,482.7,Assosa
2019,10,6.44,22.93,199.64000000000001,Assosa
2019,11,1.81,22.91,54.300000000000004,Assosa
2019,12,0.85,22.46,26.349999999999998,Assosa
2020,1,0.01,23.01,0.31,Assosa
2020,2,0.02,26.36,0.58,Assosa
2020,3,0.46,29.4,14.26,Assosa
2020,4,2.62,28.97,78.60000000000001,Assosa
2020,5,10.01,24.92,310.31,Assosa
2020,6,10.32,22.72,309.6,Assosa
2020,7,12.59,21.23,390.29,Assosa
2020,8,10.35,21.4,320.84999999999997,Assosa
2020,9,9.97,22.23,299.1,Assosa
2020,10,11.19,23.22,346.89,Assosa
2020,11,0.66,22.6,19.8,Assosa
2020,12,0.58,22.98,17.98,Assosa
2021,1,0.21,24.64,6.51,Assosa
2021,2,0.0,25.83,0.0,Assosa
2021,3,0.11,30.0,3.41,Assosa
2021,4,2.51,29.36,75.3,Assosa
2021,5,8.31,25.31,257.61,Assosa
2021,6,12.61,23.27,378.29999999999995,Assosa
2021,7,11.9,21.37,368.90000000000003,Assosa
2021,8,8.91,21.9,276.21,Assosa
2021,9,12.63,22.17,378.90000000000003,Assosa
2021,10,7.56,23.09,234.35999999999999,Assosa
2021,11,4.32,23.31,129.60000000000002,Assosa
2021,12,0.47,22.99,14.569999999999999,Assosa
2022,1,0.96,23.99,29.759999999999998,Assosa
2022,2,0.02,25.56,0.56,Assosa
2022,3,0.09,30.05,2.79,Assosa
2022,4,2.52,28.96,75.6,Assosa
2022,5,4.98,26.02,154.38000000000002,Assosa
2022,6,11.66,22.62,349.8,Assosa
2022,7,10.99,21.41,340.69,Assosa
2022,8,8.38,21.32,259.78000000000003,Assosa
2022,9,9.27,21.87,278.09999999999997,Assosa
2022,10,7.04,22.79,218.24,Assosa
2022,11,0.07,22.85,2.1,Assosa
2022,12,0.2,22.77,6.2,Assosa
2023,1,0.18,24.36,5.58,Assosa
2023,2,0.0,27.14,0.0,Assosa
2023,3,0.01,29.04,0.31,Assosa
2023,4,2.9,28.65,87.0,Assosa
2023,5,4.26,27.45,132.06,Assosa
2023,6,12.07,23.32,362.1,Assosa
2023,7,14.84,22.46,460.04,Assosa
2023,8,10.52,22.59,326.12,Assosa
2023,9,7.7,23.08,231.0,Assosa
2023,10,12.01,23.54,372.31,Assosa
2023,11,4.67,23.36,140.1,Assosa
2023,12,0.0,22.55,0.0,Assosa
2024,1,0.08,23.13,2.48,Assosa
2024,2,0.22,26.15,6.38,Assosa
2024,3,0.44,29.39,13.64,Assosa
2024,4,1.96,29.75,58.8,Assosa
2024,5,4.06,28.33,125.85999999999999,Assosa
2024,6,7.89,24.09,236.7,Assosa
2024,7,14.2,22.5,440.2,Assosa
2024,8,6.74,22.0,208.94,Assosa
2024,9,6.55,23.25,196.5,Assosa
2024,10,9.47,23.14,293.57,Assosa
2024,11,1.33,23.18,39.900000000000006,Assosa
2024,12,0.05,22.78,1.55,Assosa
