site,year,env,n_plots,n_gen,n_rep,mean_yield,sd_yield,plots_per_gen
Assosa,2018,Assosa 2018,98,45,2,504.94693877551026,301.33099747964644,2.1777777777777776
Assosa,2019,Assosa 2019,63,21,3,1556.876984126984,805.8636819819665,3.0
Assosa,2020,Assosa 2020,39,13,3,1429.673076923077,464.75722706735394,3.0
Assosa,2021,Assosa 2021,39,13,3,1375.4858974358976,231.9233937806319,3.0
Bako,2018,Bako 2018,98,45,2,937.8061224489796,432.92281122342473,2.1777777777777776
Bako,2020,Bako 2020,39,13,3,2536.9871794871797,804.802478522881,3.0
Bako,2021,Bako 2021,39,13,3,374.84358974358975,167.96733829570272,3.0
