gen,IPCA1,IPCA2,IPCA3,mean
100094,536.7101598849681,250.5318272417189,-149.25615763982697,1316.857142857143
203263,-214.7905642386145,3.9777534647284027,128.20978690661704,1323.6307142857145
203264,-782.1923017747307,470.752377613763,-126.3074164653367,1134.0430952380952
203279,-453.70532111109117,-368.65118267340523,433.8869063831683,1341.1476190476192
203325,382.5213081316273,-309.9201385937348,7.633183944324626,1422.872380952381
203347,88.76479957010281,169.08573012823743,536.0635580603591,1647.4178571428572
203356,219.1947078463397,-711.9098856501145,-280.9831665902926,1323.7342857142855
203364,87.04155650426269,-9.056577845804517,-214.42542360983458,1357.8516666666667
203439,562.0897011818412,81.42465928742662,36.622609917892724,1625.8838095238095
203449,-990.7109426265541,-27.317762638276935,-273.0226621674299,841.4766666666667
203496,565.0768966318495,451.0831996654614,-98.42121873964172,1451.7633333333335
