gen,n_env,mean,min_env_tested,fw_slope_b,fw_intercept,fw_R2,s2d_deviation,b_pvalue,yield_driest,rank_driest,shukla_var,wricke_pct,resilient_donor
Bako-09,5,1970.878,"Assosa 2019,Assosa 2020,Assosa 2021,Bako 2020,Bako 2021",1.658055693610296,-441.2172284906426,0.9752073143130237,54859.68821181354,0.0016693052178146594,,,,,no
203347,7,1647.4178571428572,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",1.0433968146943635,352.29586556694926,0.810977248044053,165741.5021264967,0.005675499414460012,967.44,1.0,64264.67321330391,6.868101683375552,yes
203439,7,1625.8838095238095,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",1.1675350869055416,176.6745099623697,0.9538503163094593,43077.96989889866,0.00015797780864813119,926.155,3.0,62105.19314114049,6.667861576743984,no
203496,7,1451.7633333333335,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",1.0980987133954305,88.74231140677034,0.8716368130490904,115988.3948449153,0.00210381518115108,843.74,6.0,99165.46283515869,10.104314846669443,no
203325,7,1422.872380952381,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",1.0718323331136776,92.45464692444807,0.9303282692685385,56195.421770672736,0.00044631789680247403,957.9,2.0,42715.29158195474,4.8699121509374175,no
203364,7,1357.8516666666667,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",0.928040930567918,205.91579592782932,0.9243671195728252,46028.546342023365,0.0005492398284601374,868.915,5.0,15370.096868183404,2.3342996320124585,yes
203279,7,1341.1476190476192,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",0.8552154182027303,279.60681304699074,0.7407282343617057,167214.60839111102,0.012896220814601195,684.39,9.0,103053.80518824511,10.464865563223192,no
203356,7,1323.7342857142855,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",1.0327530358394514,41.82394274064518,0.8852644004175718,90291.11081299871,0.0015805409011907757,802.225,7.0,123371.77720151674,12.348871317626294,no
203263,7,1323.6307142857145,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",0.7977105094628979,333.46819014646803,0.861333112863209,66914.32423232701,0.002562310045851209,887.5899999999999,4.0,10149.047946255143,1.850172268980961,yes
100094,7,1316.857142857143,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",1.0679182884667762,-8.702261888179692,0.9039293092692365,79169.76191799421,0.0010066319873926108,784.375,8.0,75692.64645369197,7.927772763343191,no
Local,5,1270.213,"Assosa 2018,Assosa 2019,Assosa 2020,Bako 2018,Bako 2020",0.8610337772034387,75.36353572201506,0.8312461774982344,119903.4780625542,0.031062745981666542,291.94,12.0,,,no
203264,7,1134.0430952380952,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",0.5097498300916669,501.313336189343,0.6083672848275811,109258.22413579068,0.0385839074632407,529.225,10.0,166758.6731227688,16.37196779240903,no
203449,7,841.4766666666667,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",0.42815472972220964,310.02727133484075,0.6496300067541563,64578.68028697247,0.02859450775993742,357.325,11.0,207954.12648505578,20.191860404678458,no
