site,series,period,slope_per_decade,p_ols,theil_sen_per_decade,p_kendall
Assosa,T2M_annual,1991-2024,-0.003945760122230623,0.9783223285636622,-0.00492424242424279,0.940913137581158
Assosa,P_JunSep,1991-2024,61.174744079449965,0.32885093551257494,74.2625000000001,0.2791706154658784
Bako,T2M_annual,1991-2024,0.1152941176470588,0.15638536191673655,0.14652777777777773,0.02931732121887646
Bako,P_JunSep,1991-2024,41.5471352177234,0.4624057420585169,45.86500000000001,0.43204590245791685
