env,site,year,n_gen,n_rep,MS_gen,MS_error,F_gen,p_gen,H2_entry_mean,mean_yield
Assosa 2018,Assosa,2018,45,2,184770.84630943104,12365.968876792254,14.941881881669493,0.0,0.9330740258878109,504.94693877551015
Assosa 2019,Assosa,2019,21,3,1068475.6971230158,427535.35307539685,2.4991516828658322,0.006741415292486175,0.599864223185814,1556.876984126984
Assosa 2020,Assosa,2020,13,3,456575.85924145294,89924.72743055555,5.077311572548764,0.00035685439833554877,0.803045374365708,1429.673076923077
Assosa 2021,Assosa,2021,13,3,91571.98314529924,38080.68779850429,2.4046830149138207,0.03249728513875849,0.5841447734283439,1375.4858974358972
Bako 2018,Bako,2018,45,2,199845.79033317848,167359.66509680793,1.1941096453412428,0.2681619489870001,0.16255596468762437,937.8061224489796
Bako 2020,Bako,2020,13,3,1367670.9265491448,313852.06877670944,4.3576928834016275,0.0010567606782130312,0.7705207717117969,2536.9871794871797
Bako 2021,Bako,2021,13,3,33935.14595141703,26260.533947368418,1.2922488940792343,0.285031866590019,0.22615526731595334,374.8435897435898
