gen,n_env,mean,min_env_tested,fw_slope_b,fw_intercept,fw_R2,s2d_deviation,b_pvalue
Bako-09,5,1970.878,"Assosa 2019,Assosa 2020,Assosa 2021,Bako 2020,Bako 2021",1.658055693610296,-441.2172284906426,0.9752073143130237,54859.68821181354,0.0016693052178146594
203347,7,1647.4178571428572,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",1.0433968146943635,352.29586556694926,0.810977248044053,165741.5021264967,0.005675499414460012
203439,7,1625.8838095238095,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",1.1675350869055416,176.6745099623697,0.9538503163094593,43077.96989889866,0.00015797780864813119
203496,7,1451.7633333333335,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",1.0980987133954305,88.74231140677034,0.8716368130490904,115988.3948449153,0.00210381518115108
203325,7,1422.872380952381,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",1.0718323331136776,92.45464692444807,0.9303282692685385,56195.421770672736,0.00044631789680247403
203364,7,1357.8516666666667,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",0.928040930567918,205.91579592782932,0.9243671195728252,46028.546342023365,0.0005492398284601374
203279,7,1341.1476190476192,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",0.8552154182027303,279.60681304699074,0.7407282343617057,167214.60839111102,0.012896220814601195
203356,7,1323.7342857142855,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",1.0327530358394514,41.82394274064518,0.8852644004175718,90291.11081299871,0.0015805409011907757
203263,7,1323.6307142857145,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",0.7977105094628979,333.46819014646803,0.861333112863209,66914.32423232701,0.002562310045851209
100094,7,1316.857142857143,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",1.0679182884667762,-8.702261888179692,0.9039293092692365,79169.76191799421,0.0010066319873926108
Local,5,1270.213,"Assosa 2018,Assosa 2019,Assosa 2020,Bako 2018,Bako 2020",0.8610337772034387,75.36353572201506,0.8312461774982344,119903.4780625542,0.031062745981666542
203335,3,1215.5777777777778,"Assosa 2018,Assosa 2019,Bako 2018",0.5980476030212243,623.1521281046794,0.4243293458355312,288349.4638471012,0.5483592518666837
203264,7,1134.0430952380952,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",0.5097498300916669,501.313336189343,0.6083672848275811,109258.22413579068,0.0385839074632407
203266,3,938.968888888889,"Assosa 2018,Assosa 2019,Bako 2018",0.4464034350568122,496.761874440828,0.8806355624341677,16051.307288989245,0.22457563359533148
230706,3,915.6433333333333,"Assosa 2018,Assosa 2019,Bako 2018",0.46591317046381814,454.10998496961656,0.16148299848038725,669840.8959331342,0.7367350116545974
203252,3,849.7411111111111,"Assosa 2018,Assosa 2019,Bako 2018",0.6801300769923092,176.00460470447365,0.9985788901990635,391.206292922147,0.024004731758220644
203449,7,841.4766666666667,"Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021",0.42815472972220964,310.02727133484075,0.6496300067541563,64578.68028697247,0.02859450775993742
203371,3,830.4716666666667,"Assosa 2018,Assosa 2019,Bako 2018",0.3153092481216385,518.1264867466518,0.1838860918322264,262211.6184179301,0.7178593261566922
203429,3,827.5411111111111,"Assosa 2018,Assosa 2019,Bako 2018",0.1048195373359365,723.706931037536,0.07615846609285079,79202.7732765345,0.8220030790920431
230104,3,729.5272222222223,"Assosa 2018,Assosa 2019,Bako 2018",0.34071043557177916,392.01963900588726,0.25434468131813653,202238.08666237668,0.6634820134492136
100077,3,669.6850000000001,"Assosa 2018,Assosa 2019,Bako 2018",0.370266676486036,302.8990196509507,0.24707043776736715,248278.68528959184,0.6688244421097497
