gen,mean,shukla_var,wricke_pct
203347,1647.4178571428572,64264.67321330391,6.868101683375552
203439,1625.8838095238095,62105.19314114049,6.667861576743984
203496,1451.7633333333335,99165.46283515869,10.104314846669443
203325,1422.872380952381,42715.29158195474,4.8699121509374175
203364,1357.8516666666667,15370.096868183404,2.3342996320124585
203279,1341.1476190476192,103053.80518824511,10.464865563223192
203356,1323.7342857142855,123371.77720151674,12.348871317626294
203263,1323.6307142857145,10149.047946255143,1.850172268980961
100094,1316.857142857143,75692.64645369197,7.927772763343191
203264,1134.0430952380952,166758.6731227688,16.37196779240903
203449,841.4766666666667,207954.12648505578,20.191860404678458
