climate_feature,pearson_r_envmean,pearson_p_envmean,pearson_r_IPCA1,spearman_r_IPCA1
P_MarMay,-0.1004994598807722,0.8302471196456592,0.2214643090433089,0.14285714285714288
P_JunSep,0.6757920566758204,0.09563001533170362,0.5476499021581619,0.3571428571428572
P_MayOct,0.51468524652377,0.23721652175545813,0.5803893876916084,0.5714285714285715
T2M_JunSep,-0.10762332492876776,0.8183492557455563,0.09018986245101383,0.0
T2M_MAX_JunSep,-0.1475382204005515,0.7522484554280363,0.015019599707868724,0.0
RH2M_JunSep,0.756130069953386,0.04921734263442366,0.5963516359167298,0.6071428571428572
P_JunSep_anom_pct,0.5229243633827327,0.22847753262133283,0.4666532156693061,0.4642857142857144
P_MarMay,-0.1004994598807722,0.8302471196456592,0.2214643090433089,0.14285714285714288
T2M_JunSep_anom,-0.3301312386065534,0.46958651172644705,-0.3244260074296304,-0.5
