env,IPCA1,IPCA2,IPCA3,mean
Assosa 2018,-42.52959179386999,-80.92622281310386,-157.16730059965042,782.6618181818183
Assosa 2019,8.998341973411883,524.1389563809134,676.4866305698727,1916.348484848485
Assosa 2020,469.06999300752193,446.20750434612194,-427.231455819461,1432.598484848485
Assosa 2021,-160.0311147314982,191.46567686405174,-108.86344247744846,1372.9533333333331
Bako 2018,-990.9761452497959,-611.5038481268055,88.32841688451335,1074.8863636363637
Bako 2020,1221.7214174281062,-596.3236688380965,128.193986099374,2443.962121212121
Bako 2021,-506.2529006338766,126.94160218691725,-199.74683465720074,386.2939393939394
