env,Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021
Assosa 2018,1.0,0.7834586466165413,0.6433566433566434,0.4909090909090909,0.32490118577075094,0.6993006993006995,0.26363636363636367
Assosa 2019,0.7834586466165413,1.0,0.6043956043956044,0.8811188811188813,0.010526315789473682,0.5439560439560439,0.43356643356643365
Assosa 2020,0.6433566433566434,0.6043956043956044,1.0,0.7832167832167832,-0.44755244755244755,0.7362637362637362,-0.10489510489510491
Assosa 2021,0.4909090909090909,0.8811188811188813,0.7832167832167832,1.0,-0.2545454545454546,0.5944055944055945,0.2582417582417582
Bako 2018,0.32490118577075094,0.010526315789473682,-0.44755244755244755,-0.2545454545454546,1.0,-0.2027972027972028,-0.02727272727272728
Bako 2020,0.6993006993006995,0.5439560439560439,0.7362637362637362,0.5944055944055945,-0.2027972027972028,1.0,-0.10489510489510491
Bako 2021,0.26363636363636367,0.43356643356643365,-0.10489510489510491,0.2582417582417582,-0.02727272727272728,-0.10489510489510491,1.0
