env,Assosa 2018,Assosa 2019,Assosa 2020,Assosa 2021,Bako 2018,Bako 2020,Bako 2021
Assosa 2018,0.0,3.327597262375826,4.65935623122436,3.8677779305023927,3.4608474820093527,6.104588798065716,4.814235997842166
Assosa 2019,3.327597262375826,0.0,3.327182790772253,2.393156992056567,3.6421269089735353,4.55744945083407,4.319444914365188
Assosa 2020,4.65935623122436,3.327182790772253,0.0,1.3882293130443752,4.410842768183451,3.009561889474706,2.647074160432305
Assosa 2021,3.8677779305023927,2.393156992056567,1.3882293130443752,0.0,4.086302784070997,3.43802595456614,2.808124561282111
Bako 2018,3.4608474820093527,3.6421269089735353,4.410842768183451,4.086302784070997,0.0,3.9600139318036267,3.293545883882466
Bako 2020,6.104588798065716,4.55744945083407,3.009561889474706,3.43802595456614,3.9600139318036267,0.0,1.9918026270484526
Bako 2021,4.814235997842166,4.319444914365188,2.647074160432305,2.808124561282111,3.293545883882466,1.9918026270484526,0.0
